timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
1723940861.4938712,139.73399353027344,-95.0,99.0,-2744.0,5.0,-7.0
1723940861.5078745,139.74400329589844,-99.0,102.0,-2753.0,10.0,2.0
1723940861.5098734,139.74899291992188,-99.0,90.0,-2741.0,9.0,-15.0
1723940861.518872,139.75900268554688,-95.0,98.0,-2751.0,2.0,-2.0
1723940861.523422,139.76400756835938,-100.0,106.0,-2744.0,5.0,-12.0
1723940861.5334232,139.7740020751953,-98.0,99.0,-2761.0,-3.0,-5.0
1723940861.538938,139.7790069580078,-97.0,101.0,-2740.0,8.0,-12.0
1723940861.5495706,139.78900146484375,-105.0,95.0,-2747.0,4.0,1.0
1723940861.5535753,139.79400634765625,-110.0,99.0,-2744.0,-2.0,-8.0
1723940861.563575,139.8040008544922,-97.0,97.0,-2750.0,-7.0,-9.0
1723940861.5685747,139.8090057373047,-95.0,91.0,-2741.0,7.0,-9.0
1723940861.5785763,139.81900024414062,-93.0,106.0,-2757.0,2.0,-13.0
1723940861.583574,139.82400512695312,-89.0,97.0,-2739.0,5.0,-12.0
1723940861.5935755,139.83399963378906,-89.0,94.0,-2762.0,1.0,-4.0
1723940861.598575,139.83900451660156,-100.0,94.0,-2747.0,4.0,2.0
1723940861.6093185,139.8489990234375,-87.0,102.0,-2748.0,3.0,-3.0
1723940861.613699,139.85400390625,-101.0,93.0,-2747.0,3.0,-7.0
