Mag_X,Mag_Y,Mag_Z
-270.0,4727.0,3527.0
-270.0,4727.0,3527.0
-275.0,4742.0,3527.0
-292.0,4765.0,3497.0
-207.0,4790.0,3467.0
-202.0,4795.0,3482.0
-230.0,4780.0,3482.0
-172.0,4800.0,3422.0
-187.0,4920.0,3447.0
-202.0,4910.0,3390.0
-182.0,4905.0,3395.0
-167.0,4930.0,3405.0
-15.0,4905.0,3370.0
-120.0,4920.0,3365.0
-97.0,4987.0,3365.0
-77.0,4950.0,3325.0
-115.0,5062.0,3365.0
-130.0,4987.0,3285.0
-135.0,5057.0,3295.0
-160.0,5137.0,3265.0
-140.0,5112.0,3237.0
-130.0,5117.0,3157.0
-125.0,5225.0,3117.0
-115.0,5260.0,3087.0
-97.0,5270.0,3040.0
-135.0,5270.0,3020.0
-160.0,5350.0,2965.0
-245.0,5335.0,2995.0
-230.0,5310.0,2940.0
-217.0,5325.0,2925.0
-240.0,5365.0,2887.0
-240.0,5365.0,2887.0
-255.0,5320.0,3015.0
-255.0,5320.0,3015.0
-230.0,5245.0,3020.0
-230.0,5245.0,3020.0
-245.0,5205.0,3060.0
-207.0,5205.0,3087.0
-230.0,5185.0,3147.0
-197.0,5157.0,3112.0
-197.0,5162.0,3172.0
-160.0,5147.0,3192.0
-172.0,5117.0,3127.0
-197.0,5205.0,3187.0
-202.0,5270.0,3065.0
-225.0,5275.0,3050.0
-345.0,5350.0,2995.0
-345.0,5350.0,2995.0
-335.0,5315.0,2912.0
-340.0,5330.0,2872.0
-282.0,5325.0,2882.0
-245.0,5412.0,2907.0
-160.0,5397.0,2945.0
0.0,5745.0,2832.0
-87.0,5390.0,2902.0
-35.0,5370.0,2892.0
102.0,5380.0,3005.0
62.0,5437.0,2995.0
172.0,5442.0,2907.0
160.0,5417.0,2892.0
160.0,5482.0,2847.0
172.0,5497.0,2842.0
150.0,5542.0,2745.0
217.0,5522.0,2782.0
255.0,5557.0,2715.0
207.0,5640.0,2680.0
255.0,5615.0,2645.0
275.0,5700.0,2615.0
275.0,5695.0,2557.0
375.0,5715.0,2532.0
287.0,5785.0,2487.0
292.0,5785.0,2482.0
380.0,5785.0,2437.0
307.0,5815.0,2415.0
370.0,5852.0,2395.0
360.0,5832.0,2345.0
340.0,5922.0,2380.0
370.0,5872.0,2290.0
375.0,5962.0,2330.0
370.0,6022.0,2280.0
350.0,5937.0,2232.0
370.0,5755.0,2325.0
370.0,5832.0,2232.0
392.0,5800.0,2192.0
370.0,6115.0,2035.0
340.0,6080.0,1995.0
350.0,6185.0,1927.0
312.0,6225.0,1867.0
360.0,6302.0,1837.0
360.0,6302.0,1837.0
375.0,6307.0,1690.0
412.0,6312.0,1645.0
397.0,6412.0,1607.0
437.0,6382.0,1532.0
600.0,6387.0,1310.0
490.0,6792.0,1532.0
512.0,6442.0,1482.0
507.0,6490.0,1445.0
365.0,6812.0,1400.0
427.0,6772.0,1227.0
432.0,6832.0,1395.0
502.0,6485.0,1315.0
542.0,6447.0,1300.0
565.0,6857.0,1305.0
565.0,6857.0,1305.0
670.0,6832.0,1360.0
670.0,6832.0,1360.0
757.0,6852.0,1380.0
815.0,6807.0,1237.0
742.0,6500.0,1222.0
732.0,6555.0,1130.0
757.0,6615.0,1100.0
772.0,6635.0,1035.0
852.0,6610.0,1030.0
842.0,6707.0,917.0
852.0,6692.0,897.0
847.0,6757.0,795.0
905.0,6772.0,680.0
987.0,6802.0,587.0
997.0,6867.0,547.0
1025.0,6827.0,395.0
1030.0,6910.0,340.0
1040.0,6955.0,227.0
1120.0,6892.0,167.0
1107.0,6960.0,35.0
1125.0,6990.0,-60.0
1182.0,6970.0,-150.0
1212.0,7025.0,-267.0
1250.0,7000.0,-360.0
1250.0,7000.0,-360.0
1360.0,7085.0,-552.0
1360.0,7085.0,-552.0
1412.0,7035.0,-735.0
1412.0,7035.0,-735.0
1495.0,7015.0,-902.0
1542.0,7090.0,-1055.0
1605.0,7050.0,-1075.0
1585.0,7040.0,-1177.0
1657.0,7090.0,-1232.0
1705.0,7070.0,-1287.0
1752.0,7015.0,-1395.0
1790.0,7060.0,-1455.0
1877.0,6985.0,-1532.0
1905.0,6995.0,-1552.0
1940.0,6975.0,-1645.0
2025.0,6902.0,-1680.0
2077.0,7360.0,-1765.0
2192.0,6867.0,-1780.0
2197.0,6847.0,-1812.0
2255.0,6872.0,-1847.0
2395.0,6812.0,-1877.0
2417.0,6802.0,-1872.0
2417.0,6802.0,-1872.0
2562.0,6747.0,-1842.0
2657.0,6692.0,-1862.0
2742.0,6692.0,-1857.0
2835.0,6555.0,-1797.0
2935.0,6570.0,-1750.0
3020.0,6520.0,-1685.0
3087.0,6505.0,-1645.0
3285.0,6447.0,-1542.0
3380.0,6412.0,-1482.0
3390.0,6352.0,-1440.0
3600.0,6327.0,-1272.0
3730.0,6352.0,-1197.0
3835.0,6302.0,-1000.0
3882.0,6210.0,-942.0
3940.0,5882.0,-577.0
4070.0,5790.0,-400.0
4065.0,5725.0,-187.0
4127.0,5562.0,252.0
4140.0,5502.0,395.0
4040.0,5370.0,817.0
3977.0,5275.0,1000.0
3915.0,5142.0,1430.0
3845.0,5032.0,1625.0
3677.0,4875.0,2070.0
3677.0,4875.0,2070.0
3182.0,5012.0,2755.0
3050.0,4562.0,2975.0
2610.0,4365.0,3212.0
2460.0,4292.0,3365.0
2077.0,4207.0,3615.0
1847.0,4142.0,3742.0
1332.0,3970.0,3910.0
1102.0,3930.0,4020.0
585.0,3732.0,4092.0
340.0,3687.0,4187.0
20.0,3560.0,4172.0
-217.0,3470.0,4197.0
-642.0,3302.0,4212.0
-800.0,3282.0,4182.0
-1062.0,3125.0,4280.0
-1192.0,3060.0,4270.0
